TEAM,CONF,G,W,TORD,ORB,FTR,2P_O,3P_O,YEAR
Florida Gulf Coast,ASun,16,10,18.8,28.6,24,51,28.9,2021
UC Davis,BW,17,10,23.4,26.9,36.4,48.3,31.9,2021
New Hampshire,AE,18,10,17.9,27.3,32.8,44,31.8,2021
Northeastern,CAA,19,10,17.2,20.2,26,50.4,35.4,2021
Elon,CAA,18,10,17.9,24.6,23.2,47.3,33.1,2021
UNC Asheville,BSth,20,10,19.7,26.8,30.2,55.2,35.8,2021
Tarleton St.,WAC,15,10,23.4,19.3,38.1,45.6,37.4,2021
Pittsburgh,ACC,22,10,17.5,34.5,36.9,47.8,33.9,2021
Milwaukee,Horz,22,10,18.6,24.3,33.2,49.7,32.9,2021
Tulane,Amer,23,10,22.1,22.9,36.6,44,29.8,2021
Ball St.,MAC,23,10,17.2,27.8,28.7,51.4,34.2,2021
McNeese St.,Slnd,18,10,17.7,27,30.7,51.7,37.2,2021
Rhode Island,A10,25,10,17.5,30,38.9,50.3,31.2,2021
Butler,BE,25,10,18.6,26,29.4,46.8,32.3,2021
Northern Iowa,MVC,23,10,16.8,26.4,26.5,51.1,32.2,2021
New Orleans,Slnd,24,10,21.2,29.3,33.1,52.8,33.9,2021
Miami FL,ACC,27,10,18,27.1,32.8,49,29.5,2021
Fairfield,MAAC,27,10,16.3,28.1,34.1,44.4,31.5,2021
Valparaiso,MVC,26,10,17.8,20.9,26.1,48.9,29.7,2021
Lamar,Slnd,28,10,20,26.4,30.8,45.7,31.2,2021
SMU,Amer,16,11,20.2,30.5,31.3,51.8,33.9,2021
Hawaii,BW,19,11,16.7,29.1,30.3,48.6,35.7,2021
North Carolina A&T,MEAC,19,11,24,27.6,35.8,45.4,30.4,2021
Northern Colorado,BSky,19,11,15.9,24.6,32.3,47.4,37.6,2021
Utah Valley,WAC,20,11,14.8,31.7,43.5,51.2,34.7,2021
UMass Lowell,AE,23,11,16.3,27,37.2,50.8,34.6,2021
UCF,Amer,23,11,19.5,28.2,30.7,47.9,35.5,2021
Tulsa,Amer,21,11,21.7,26.5,33.1,51.6,30,2021
Jacksonville,ASun,22,11,20.7,24.9,34.3,49.9,31.4,2021
Arkansas St.,SB,21,11,17.5,30.8,34.6,44.8,37.4,2021
UMKC,Sum,20,11,22.5,21.6,30.5,50.4,35.1,2021
Penn St.,B10,25,11,19.7,31.9,27.8,45.8,33.8,2021
Stetson,ASun,22,11,17.9,27.8,27.8,48,36.9,2021
Hampton,BSth,25,11,17.9,22.2,28.6,49.3,33.2,2021
Arizona St.,P12,25,11,20.7,21.4,33.3,48.8,33.3,2021
San Francisco,WCC,25,11,19.9,24.8,21.4,51.5,34,2021
Notre Dame,ACC,26,11,12.7,22,25.9,52.9,36.8,2021
Gardner Webb,BSth,26,11,18.2,26.6,30,51,36.1,2021
Little Rock,SB,25,11,20.1,31.1,37.7,52.2,31.3,2021
Southeast Missouri St.,OVC,27,11,19.7,27.6,40.5,48,35.2,2021
Western Carolina,SC,25,11,15.9,22.6,32.2,53.2,33.2,2021
Troy,SB,25,11,18,28.3,33.1,46,28.1,2021
Northwestern St.,Slnd,28,11,18,26.2,30.1,47.3,34.7,2021
Siena,MAAC,17,12,17.8,28,37.2,52.2,34.4,2021
Jackson St.,SWAC,18,12,22,28.9,42.2,42,34,2021
Monmouth,MAAC,20,12,20.9,25.7,38.2,45.4,36.3,2021
New Mexico St.,WAC,17,12,18.5,34.3,31,50.6,32.1,2021
Santa Clara,WCC,19,12,16.9,23,39.9,49,29.9,2021
Marist,MAAC,21,12,18,23,31.5,50.8,31,2021
Army,Pat,20,12,19.5,22.7,29.3,54.3,32.7,2021
Detroit,Horz,22,12,18.5,27.2,25.3,52.2,39.1,2021
Cincinnati,Amer,23,12,18.6,29.1,33,49.4,31.1,2021
Miami OH,MAC,22,12,18.1,27.9,25.5,48.1,36.2,2021
Seattle,WAC,19,12,21.7,26.3,28.4,45.6,31.8,2021
UTEP,CUSA,21,12,19,24.8,29.9,46.5,32.8,2021
Fresno St.,MWC,22,12,18.9,30.5,36.8,48.7,32.6,2021
Grambling St.,SWAC,23,12,21,26,41.9,47,33.3,2021
Pepperdine,WCC,22,12,17.6,23.2,32.7,51.5,32.5,2021
Utah,P12,25,12,19.6,23.6,28.8,53,35.5,2021
TCU,B12,26,12,17,28.9,32.4,49.5,33.8,2021
Southern Illinois,MVC,25,12,19,16.6,29.8,49.7,37.2,2021
Indiana,B10,27,12,17.6,25.5,41.5,48.5,32.4,2021
UNLV,MWC,25,12,17.7,28.8,21.4,49.8,34.6,2021
Longwood,BSth,27,12,20.6,28.1,31.5,48.6,34.6,2021
Bradley,MVC,26,12,17.8,28,22.6,51.6,31.4,2021
Oakland,Horz,30,12,18.7,30,33.2,47.7,33.3,2021
Chicago St.,WAC,9,0,16.2,16.6,25.4,43.9,25.1,2021
North Carolina St.,ACC,23,13,22,30.1,32.1,51.7,36.6,2021
Montana St.,BSky,21,13,18.8,24.3,40.3,50.5,32,2021
Hofstra,CAA,23,13,17.4,29.3,33.2,51.7,33,2021
Florida Atlantic,CUSA,19,13,18.6,31.6,30.1,50.2,35.4,2021
Cal Baptist,WAC,19,13,16.1,27.3,37.1,50.4,39.6,2021
Duke,ACC,24,13,19.8,32,23.4,54.3,35.1,2021
North Alabama,ASun,20,13,18.6,26.1,28.3,47.3,33,2021
Idaho St.,BSky,19,13,18.1,30.8,38.7,48.3,30.2,2021
East Tennessee St.,SC,23,13,19.8,30.5,29.8,49,34.9,2021
VMI,SC,22,13,13.4,22.6,28.8,52.4,37,2021
The Citadel,SC,21,13,13.9,22.5,33.5,53.8,32.8,2021
Providence,BE,26,13,16.8,29.1,31.6,48.5,32,2021
Murray St.,OVC,24,13,19.5,27.6,26.1,54.6,36.6,2021
Georgia Southern,SB,22,13,22.1,30.4,29.1,49.1,30.9,2021
UT Arlington,SB,23,13,19.6,26.9,26.2,41.7,35.3,2021
Marquette,BE,27,13,15.9,29.1,35,51.9,32.3,2021
Auburn,SEC,27,13,18.5,35,36.2,53.1,32.6,2021
Louisville,ACC,20,13,16.6,32,32.1,48.4,30.8,2021
Bellarmine,ASun,18,13,23.3,26.4,28.4,55.9,37.1,2021
James Madison,CAA,17,13,20.8,27.9,40.8,50.9,33.3,2021
Wagner,NEC,20,13,20.9,34.8,28,49.7,31.8,2021
Richmond,A10,20,13,21.3,19.5,30.8,53.9,34.3,2021
Davidson,A10,20,13,16.2,28.3,27.1,56.9,36,2021
Xavier,BE,21,13,16.4,26.8,25.9,54.3,32.5,2021
George Mason,A10,21,13,19.3,30.3,29.3,48.5,32.7,2021
Loyola Marymount,WCC,22,13,17.3,32.6,41.3,52.2,33.8,2021
Northern Kentucky,Horz,25,14,18.9,34.9,27.8,53.7,30.7,2021
Saint Peter's,MAAC,25,14,22.5,30.4,32.7,44.1,32.3,2021
Bowling Green,MAC,24,14,19.1,30.3,28.9,48.4,31.8,2021
Wyoming,MWC,25,14,18.1,22.9,35.3,53.9,35.7,2021
South Dakota,Sum,24,14,15.4,21.7,33.1,50.5,39.1,2021
Georgia,SEC,25,14,21.6,32.8,34.3,51.8,32.3,2021
Seton Hall,BE,27,14,19.2,29.7,35.7,51.1,32.1,2021
Austin Peay,OVC,25,14,22.3,35.7,29.4,50.6,33.3,2021
Stanford,P12,27,14,20.3,25.1,36.5,52.8,32.2,2021
Washington St.,P12,27,14,18.5,30.8,34.7,45.7,34.1,2021
Minnesota,B10,29,14,19,29,36.7,46.7,28.4,2021
Saint Louis,A10,20,14,19.6,36.1,30.5,51.4,35.2,2021
UMBC,AE,20,14,17.9,25.8,36.6,49.8,34.1,2021
UC Riverside,BW,22,14,16.4,26.1,22,50.3,36.9,2021
Morgan St.,MEAC,19,14,22.1,34.5,37.5,48.2,32.9,2021
Dayton,A10,23,14,17.5,23.7,34.5,55,37.4,2021
Saint Mary's,WCC,23,14,18.8,26,27.7,49.8,29.3,2021
Indiana St.,MVC,24,15,21.7,25.3,36.3,47.9,33.8,2021
Cal St. Bakersfield,BW,24,15,20.6,38.5,26.9,47.6,33.8,2021
UTSA,CUSA,22,15,18.1,26.5,23.7,49.2,33.1,2021
Lipscomb,ASun,23,15,18.4,23.2,36.5,51.2,34.1,2021
Radford,BSth,25,15,18,33.4,40.2,52.9,30.9,2021
Youngstown St.,Horz,23,15,18.7,32.9,31.6,50.1,30.9,2021
North Dakota St.,Sum,27,15,13.8,28.7,33.6,49.9,34.1,2021
Montana,BSky,23,15,18.2,22.7,35.9,46.5,36.6,2021
Rice,CUSA,25,15,17.1,26.7,26.3,51.2,36.1,2021
Mississippi St.,SEC,29,15,17.5,36.4,32.9,49.4,33.6,2021
Navy,Pat,18,15,22.4,32.4,33,50.6,32.7,2021
Bryant,NEC,20,15,17,29.1,34.6,51.5,37.9,2021
Marshall,CUSA,22,15,19.8,23.8,24.2,55.5,36,2021
Old Dominion,CUSA,22,15,19.4,27.9,31.3,50.6,29.4,2021
Akron,MAC,21,15,16.4,30,30.7,52.7,33.4,2021
Kent St.,MAC,22,15,17.6,34.2,28.1,51.3,33.5,2021
Wofford,SC,22,15,18.6,25.5,24.3,56.6,35.6,2021
Nevada,MWC,25,16,17.8,24.3,38.9,50,35.5,2021
Mississippi,SEC,27,16,22.7,34.8,34.4,50.6,29.9,2021
St. John's,BE,27,16,21.9,29.2,28.6,49.8,34.4,2021
Stephen F. Austin,Slnd,18,16,24.5,36.5,44,57.1,32.2,2021
Prairie View A&M,SWAC,21,16,25.7,30.9,26.9,53,30.4,2021
Georgia St.,SB,20,16,19.7,30.9,32.6,51,34.5,2021
Coastal Carolina,SB,19,16,18.1,35.5,32.2,48.7,34.6,2021
South Dakota St.,Sum,22,16,15.3,24,38,53.9,40.9,2021
Memphis,Amer,24,16,22.4,33.7,34.2,48.8,35.4,2021
Buffalo,MAC,23,16,17.6,37.4,30.4,51.1,34,2021
Furman,SC,22,16,20.5,26.3,25.8,60.8,34.8,2021
Campbell,BSth,25,17,21.5,19.6,33.8,55.4,37.4,2021
South Alabama,SB,24,17,19.3,26.4,31,49.4,35.1,2021
Weber St.,BSky,20,17,18.9,22.4,36.8,57.3,36.6,2021
Missouri St.,MVC,22,17,14.2,23.8,30.6,55.2,35,2021
Arizona,P12,26,17,18,34.3,41.8,48.1,37.2,2021
Louisiana Lafayette,SB,24,17,17.2,32.2,30.1,48.8,35.6,2021
Mercer,SC,26,18,16.8,26.1,24.8,53.9,36.6,2021
Wright St.,Horz,24,18,16.6,34.1,34.5,53.8,37,2021
Colorado St.,MWC,23,18,19.9,24.6,33.9,55.7,36,2021
Texas St.,SB,23,18,22.7,28.6,27.1,49.1,39.4,2021
Nicholls St.,Slnd,24,18,20.6,28.6,27.8,53,31.8,2021
Boise St.,MWC,25,18,20.2,27.3,34.4,52.4,34.4,2021
Chattanooga,SC,24,18,18.8,22.6,28.1,48.6,35.4,2021
UC Irvine,BW,25,18,18.2,31.1,29.1,46.7,32.9,2021
Jacksonville St.,OVC,25,18,15.7,32.2,31,52.8,34.6,2021
Sam Houston St.,Slnd,24,19,22,29.3,30,49.1,34.8,2021
Southern Utah,BSky,19,20,17,29.2,39.4,54,33.4,2021
Western Kentucky,CUSA,27,20,19,32.1,36.2,50.6,34.5,2021
Louisiana Tech,CUSA,27,21,18.8,27.1,35.3,49.7,34.6,2021
Toledo,MAC,29,21,17.4,29.6,28.5,52.5,37.7,2021
UAB,CUSA,27,22,23.6,29,29.9,49.4,31.1,2021
Eastern Kentucky,OVC,27,22,24.3,26.8,25.6,49.6,35.8,2021
Belmont,OVC,29,26,20.3,26.1,27.9,59.4,34.7,2021
Gonzaga,WCC,32,28,16.3,29.1,30.6,60.4,37,2022
Kansas,B12,40,34,18.1,32.9,32.3,53.6,36.1,2022
Baylor,B12,34,27,22.9,36.3,29,53.6,34.3,2022
Arizona,P12,37,33,17.4,34.7,34.9,57,35.3,2022
Duke,ACC,39,32,15.7,31.7,28.6,56,36.6,2022
Villanova,BE,38,30,18.4,31.2,29.8,49.5,35.9,2022
Kentucky,SEC,34,26,17.5,37.7,28,53.5,34.7,2022
Auburn,SEC,34,28,20,33.7,31.6,51.3,31.8,2022
Texas Tech,B12,37,27,23.2,33.2,35.1,54.9,32.1,2022
Tennessee,SEC,35,27,22.9,32.4,29,48.5,35.9,2022
Purdue,B10,37,29,14,35.2,38.2,55.8,38.4,2022
Wisconsin,B10,33,25,17,25.9,32.4,48.7,30.7,2022
UCLA,P12,35,27,19.4,31.3,29.5,49.5,35.4,2022
Illinois,B10,33,23,15.5,33.1,32,51.4,35.9,2022
Arkansas,SEC,37,28,20.5,29.6,37.2,50.1,30.4,2022
Providence,BE,33,27,15.6,30.3,37,49,34.4,2022
Houston,Amer,38,32,21.7,37.7,29,54.5,33.8,2022
Iowa,B10,36,26,19.2,32.3,30,52.5,36.3,2022
Saint Mary's,WCC,33,26,19.2,27.4,23.3,52.5,35.5,2022
Connecticut,BE,33,23,18,37.9,30.5,48,35.2,2022
Texas,B12,34,22,23,31.6,32,50.5,33,2022
LSU,SEC,34,22,25.1,33.8,33.4,50.4,31.6,2022
Alabama,SEC,33,19,17.9,35.3,32.9,55.9,30.9,2022
Colorado St.,MWC,30,25,18.5,21.9,29.6,55.7,35.6,2022
Ohio St.,B10,32,20,15.5,29.3,33.4,54,36.5,2022
Michigan St.,B10,36,23,15.3,30.7,29.9,49.6,37.8,2022
Murray St.,OVC,31,31,20.4,35.3,32.4,53.2,34.5,2022
USC,P12,34,26,14.4,33.5,30.9,50.1,35.7,2022
North Carolina,ACC,39,29,13.6,31.9,30.3,50.1,35.8,2022
San Diego St.,MWC,32,23,21.9,29.5,31.1,46.7,35.4,2022
Boise St.,MWC,34,27,20.2,30.6,35.2,50.6,34,2022
Seton Hall,BE,31,21,18.5,32.3,30.5,45.8,33.2,2022
Memphis,Amer,33,22,20.4,37.4,37.8,51.9,35.5,2022
TCU,B12,34,21,18.6,37.7,31.4,50.3,30.2,2022
Creighton,BE,35,23,15.5,28.4,26.7,53.3,30.8,2022
Marquette,BE,32,19,18.9,22.5,26.2,52.6,34.4,2022
San Francisco,WCC,33,24,18.4,30,28.5,54.4,34.3,2022
Miami FL,ACC,37,26,20.4,22.4,28.9,54.8,33.9,2022
Loyola Chicago,MVC,32,25,20.1,25.1,31.5,54.9,37.6,2022
Davidson,A10,33,27,16.7,23.6,32.5,54.2,38.5,2022
Virginia Tech,ACC,36,23,18.7,27.8,24.5,52.6,39.2,2022
Michigan,B10,34,19,14.7,31,29.4,52.7,33.9,2022
Notre Dame,ACC,34,24,15.1,22.1,27.3,51.9,37.9,2022
Iowa St.,B12,35,22,24.6,28.4,27.1,50.1,31.5,2022
Rutgers,B10,32,18,17.8,29.6,26.2,49.4,33.9,2022
Indiana,B10,35,21,17.6,27,33.5,50.9,33.3,2022
UAB,CUSA,33,27,21.1,33.3,29.3,50.8,38,2022
Wyoming,MWC,33,25,15.7,25.5,37.1,54.4,33,2022
New Mexico St.,WAC,31,27,16.8,32.6,34.6,53.2,33.4,2022
Richmond,A10,37,24,18.8,22.4,31,52.3,33,2022
Vermont,AE,33,28,16.8,23.7,26.7,58.6,36.8,2022
Chattanooga,SC,33,27,18.1,32.7,26.8,53,33.9,2022
South Dakota St.,Sum,33,30,15.8,23.7,34.6,55.9,43.7,2022
Akron,MAC,32,24,17.5,29,39.3,52.2,35.3,2022
Colgate,Pat,34,23,16,26.6,26.3,52.1,40.4,2022
Longwood,BSth,29,26,20,33.2,35.4,47.9,38.4,2022
Yale,Ivy,30,19,18.2,25.6,32.2,50.1,32.6,2022
Montana St.,BSky,33,27,18.2,26.7,40.1,52.9,37,2022
Saint Peter's,MAAC,33,22,20.5,30.9,37.4,45.6,34.6,2022
Delaware,CAA,34,22,18.5,26.7,34.5,54.4,34.5,2022
Jacksonville St.,ASun,30,21,17.1,28.2,32.1,51,38,2022
Cal St. Fullerton,BW,30,21,20.2,29.1,34.8,48.4,33.4,2022
Georgia St.,SB,26,18,22.1,32.5,30.4,42.5,32.4,2022
Bryant,NEC,31,22,16.6,32.8,32.7,52.8,30.3,2022
Wright St.,Horz,35,22,18.5,31,31.6,52.5,33.4,2022
Texas Southern,SWAC,32,19,17.3,33,33.6,48.6,31.4,2022
Norfolk St.,MEAC,28,24,18.4,30.1,38.3,50.8,34,2022
Texas A&M Corpus Chris,Slnd,31,23,22.6,34,38,46.9,31.8,2022
Oklahoma,B12,35,19,20.3,25.7,27.4,56.7,34.7,2022
Texas A&M,SEC,39,27,23.7,33.5,35.7,50.1,32.4,2022
Oklahoma St.,B12,30,15,22.8,32.3,33,49.8,29.5,2022
Wake Forest,ACC,35,25,17.6,26.7,33.6,58.5,34.5,2022
Washington St.,P12,37,22,20.4,33.4,29.8,46.2,33.5,2022
Dayton,A10,35,24,17.1,30.3,30.5,53.8,36.1,2022
Syracuse,ACC,33,16,16.7,29.2,28.3,49.9,37.6,2022
Xavier,BE,36,23,18.1,29.3,35.3,52.2,32.2,2022
St. John's,BE,32,17,21.3,30.7,26.1,51,33.5,2022
VCU,A10,32,22,24.7,26.6,30.9,51.1,34.7,2022
North Texas,CUSA,30,25,19.5,31.7,37.7,49.7,35.8,2022
Utah St.,MWC,33,18,18.3,26,28.9,56.2,34.1,2022
Florida,SEC,34,20,21.8,31.5,33.8,53.1,30.3,2022
SMU,Amer,33,24,17,27.7,35.6,50.4,35.3,2022
West Virginia,B12,33,16,22.5,30,36.1,45.7,32.8,2022
Virginia,ACC,35,21,18.3,27.8,28.1,50.3,32.3,2022
Vanderbilt,SEC,36,19,20.7,27.5,38.7,49.5,34,2022
BYU,WCC,33,24,15,30.6,27.2,51.9,34.6,2022
Santa Clara,WCC,33,21,16.5,23.4,27.6,53.5,37.8,2022
Northern Iowa,MVC,31,20,18,20.8,33.2,53.3,35.1,2022
DePaul,BE,31,15,16.8,31.7,33.4,49.4,31.7,2022
Stephen F. Austin,WAC,28,22,24.4,34.5,36.5,52.8,31.9,2022
Sam Houston St.,WAC,30,19,20.8,30.6,25,46.8,33.6,2022
UC Riverside,BW,26,16,16.1,22.4,26.9,52.2,32.3,2022
UNC Greensboro,SC,31,17,18.6,32.4,27.5,48.6,34.4,2022
Bellarmine,ASun,29,20,17.7,22.4,22.1,54.8,34.2,2022
Long Beach St.,BW,31,20,19.9,27.1,38.1,47.1,34.9,2022
Old Dominion,CUSA,31,13,17.1,32.3,34.3,48.1,29,2022
Campbell,BSth,26,16,18.3,22.2,26.3,52.4,33,2022
Alcorn St.,SWAC,34,17,19.1,31.9,32.5,45.1,31.8,2022
Mississippi St.,SEC,34,18,19.4,34.1,38.1,51.7,29.5,2022
Kansas St.,B12,31,14,19.8,25.2,29.6,47.5,34.6,2022
Fresno St.,MWC,35,23,19.4,27.3,31.2,51.3,33.7,2022
Saint Louis,A10,34,23,18,33.8,32.7,49.1,36.2,2022
Tulane,Amer,29,14,20.3,20.1,33.4,49,36.5,2022
Clemson,ACC,33,17,16.9,25.8,29.8,51.2,36.3,2022
Oregon,P12,34,20,19.2,29.9,29.7,51.6,33.5,2022
Furman,SC,33,22,19.1,27.4,23.3,55,37.5,2022
Missouri St.,MVC,33,23,15.7,25.8,27.7,54.6,36.4,2022
Towson,CAA,34,25,19.5,35.7,33.9,50.4,35.7,2022
Drake,MVC,34,25,19.4,30.2,27.3,52.3,33.1,2022
Arizona St.,P12,31,14,19.6,24.9,21.2,47.7,30.7,2022
Maryland,B10,32,15,16.1,27.2,33.9,49.7,32.6,2022
Colorado,P12,33,21,17.5,29.9,34.7,48.1,36.6,2022
UNLV,MWC,31,18,17.2,27.1,30.7,48.6,33.2,2022
Northwestern,B10,30,15,19.3,25.6,25.1,47.2,34.6,2022
St. Bonaventure,A10,33,23,19.1,26.9,25.9,50.9,33.1,2022
Wichita St.,Amer,28,15,20.1,32.3,31.7,46.7,31.2,2022
Iona,MAAC,33,25,19,31.8,37.3,51.2,33.2,2022
Belmont,OVC,32,25,20.9,24.4,25.9,60.7,32.8,2022
Grand Canyon,WAC,29,23,18.6,34.8,31,48.3,34.8,2022
Penn St.,B10,31,14,13.8,28.6,21.8,49.9,34.2,2022
Cincinnati,Amer,32,18,17.9,30.1,29.6,46.7,31.4,2022
Middle Tennessee,CUSA,35,26,20.3,30,34.2,52.7,33.1,2022
UCF,Amer,30,18,20.7,30.8,28.5,47.9,35,2022
Toledo,MAC,33,26,15.3,30.4,28,53.1,35.2,2022
Mississippi,SEC,32,13,19.4,26.7,28.7,50,32.6,2022
Louisiana Tech,CUSA,31,24,19.3,26.1,31.1,52.5,34,2022
Bradley,MVC,30,17,18.2,31.9,27.3,51.1,34.1,2022
Florida St.,ACC,31,17,21,31.7,30.3,48.7,33.1,2022
South Carolina,SEC,30,18,21.5,33.6,29.2,47.4,31.3,2022
Washington,P12,32,17,22.1,29.3,34.7,46.2,31.2,2022
Temple,Amer,29,17,17.2,32.7,39.7,44.7,31.1,2022
Princeton,Ivy,28,23,15.5,24.8,21.3,55.9,38.4,2022
Minnesota,B10,30,13,15.8,17.7,23.6,48,36.8,2022
Boston College,ACC,33,13,18.7,29.9,29.6,48.5,30.9,2022
Hofstra,CAA,30,21,20.4,23.3,21.7,55.6,33.8,2022
Nebraska,B10,32,10,18.3,20.6,33.3,51.8,32,2022
Abilene Christian,WAC,32,25,27.9,27.8,39.3,48.4,32.2,2022
Stanford,P12,32,16,16.4,33.8,29.9,49.2,33.9,2022
Utah Valley,WAC,30,20,15.6,32,38.1,48.7,36.8,2022
Butler,BE,31,14,17.1,27.1,30.2,48.9,29.7,2022
Louisville,ACC,32,13,16.3,27.3,25.1,50.5,30.9,2022
Morehead St.,OVC,31,23,17.3,30.7,29,51.6,35.8,2022
North Carolina St.,ACC,32,11,18.3,30.3,29.1,45.9,34,2022
George Mason,A10,30,14,17.2,24.9,29,52.4,35.7,2022
Liberty,ASun,30,22,17.1,22.2,28.4,54,38.1,2022
Utah,P12,31,11,15.2,29.3,30,47.3,33.5,2022
Nevada,MWC,30,13,18.3,24.5,32,51.3,33,2022
Western Kentucky,CUSA,30,19,19.9,25.1,31.3,52.1,35.9,2022
Southern Illinois,MVC,30,16,18.7,23.2,29.1,50.6,35.1,2022
Wofford,SC,30,19,19.7,26.9,28.2,55.5,34.8,2022
College of Charleston,CAA,32,17,19.1,35.7,30.4,50,33.9,2022
Texas St.,SB,26,21,21.8,30.8,32.9,48.9,37.2,2022
Kent St.,MAC,32,23,19.5,30.8,32.6,50.5,32.5,2022
Florida Atlantic,CUSA,31,19,19.5,31.1,28.8,53.6,35.3,2022
California,P12,32,12,14.7,25.5,25.3,47.2,30.8,2022
Georgia Tech,ACC,31,12,18.8,25,25,48.6,34.4,2022
Rhode Island,A10,30,15,19.3,28.6,36.1,50.5,33.8,2022
UC Santa Barbara,BW,26,17,19.5,28.4,37.2,55,33.4,2022
Seattle,WAC,30,23,20.5,26,28.8,47.1,33.1,2022
Drexel,CAA,28,15,16.2,25.6,25.4,52,34.7,2022
Buffalo,MAC,28,19,15.8,37,25.6,51.6,34.4,2022
UC Irvine,BW,23,15,17.2,29.9,29.7,47.4,32.1,2022
Saint Joseph's,A10,30,11,13.7,27,22.9,49,33.6,2022
Ohio,MAC,34,25,20.4,27.1,31.5,50.8,33.7,2022
Gardner Webb,BSth,28,18,19,26.9,28.5,50.2,33,2022
Jacksonville,ASun,27,21,16.4,33.6,30.5,47.2,34.5,2022
Missouri,SEC,32,12,17.9,31.4,29.9,49.4,28.1,2022
Appalachian St.,SB,31,19,17.9,26.3,27.6,46.9,33.5,2022
New Mexico,MWC,30,13,18,24,32.8,48.1,34.4,2022
UTEP,CUSA,32,20,20.5,22.6,27.8,47.4,34.7,2022
UNC Wilmington,CAA,34,27,19.9,28,34.4,47.4,32.9,2022
Wagner,NEC,26,21,22.3,33.5,32.1,53,28.5,2022
Tulsa,Amer,31,11,20.1,26.7,31,48.5,34.2,2022
Mercer,SC,31,16,15.8,24.5,29.3,52.9,35.3,2022
Coastal Carolina,SB,29,19,17.3,32.7,31.1,48.3,35.1,2022
Portland,WCC,32,19,17.4,23.9,33.5,48.4,35.4,2022
South Alabama,SB,29,21,20.8,26.9,30.6,52.3,34.2,2022
North Dakota St.,Sum,31,23,12.7,24.8,33.4,51.1,35.3,2022
East Tennessee St.,SC,30,15,16.6,30.6,21.7,51.1,35.1,2022
Samford,SC,29,21,17.8,30.1,28.9,53.4,33.1,2022
East Carolina,Amer,30,15,18.5,27.6,33.5,45.3,33.3,2022
Cleveland St.,Horz,29,20,21.8,33.9,36.1,55.3,32.6,2022
Monmouth,MAAC,34,21,17.8,29.4,36.9,46.3,33.1,2022
Georgetown,BE,31,6,18,32.3,29,43.3,34.2,2022
VMI,SC,29,16,14,22.7,26.3,54.4,37.4,2022
Louisiana Lafayette,SB,29,16,18.4,33.6,35.5,47,34.3,2022
Hawaii,BW,26,17,15.9,29,32.5,49.5,34.6,2022
Northern Kentucky,Horz,30,20,21.1,36,26.6,48.3,34.1,2022
Winthrop,BSth,29,23,19.3,25.3,37.5,57,37,2022
Oakland,Horz,30,20,20.5,30.7,34,52.5,29.7,2022
Southern Utah,BSky,33,23,17.2,27.8,33.4,53.6,34.1,2022
Fordham,A10,32,16,19.6,27.2,29.7,46.7,29.7,2022
Cornell,Ivy,24,15,18.1,26.1,32.2,55.6,34.1,2022
Navy,Pat,31,21,20.4,33.8,30.8,47,32.3,2022
Oral Roberts,Sum,28,19,12.7,26.6,23,52.3,37.2,2022
Florida Gulf Coast,ASun,32,22,15.8,29.9,29.1,53.8,35.1,2022
Charlotte,CUSA,31,17,16.9,22.7,28,53.6,34.5,2022
Massachusetts,A10,32,15,18,29.3,32.8,48,37.1,2022
Georgia,SEC,32,6,15.7,25.8,39,51.3,32.1,2022
Weber St.,BSky,31,21,20.2,20,37.8,54.5,34.6,2022
Pittsburgh,ACC,32,11,16.5,30.5,39.4,46.5,31.4,2022
Tarleton St.,WAC,28,14,24.7,27,33.7,46.3,30.9,2022
Illinois St.,MVC,31,13,17.2,28.5,31.3,49.7,36.9,2022
UMKC,Sum,27,19,21,21.5,31.6,51.6,35.8,2022
Arkansas St.,SB,26,18,19.3,29.4,34.5,50,31.9,2022
Indiana St.,MVC,28,11,15.8,17.3,26.4,52.8,32,2022
Troy,SB,29,20,20.3,31.6,34.9,47.1,32.3,2022
Nicholls St.,Slnd,29,21,19.7,29.6,21.6,54.5,32.1,2022
Loyola Marymount,WCC,28,11,18.1,24.4,31.1,52.3,34.2,2022
Valparaiso,MVC,30,14,16.5,20.3,26.9,52.1,32.9,2022
UC Davis,BW,22,13,19.2,26.2,29.4,48.7,32.3,2022
Fort Wayne,Horz,31,21,21.6,22.4,27.4,51.9,36.4,2022
Niagara,MAAC,29,14,17.1,23.1,28.1,48.2,34,2022
Fairfield,MAAC,32,15,17,27.4,26.6,48.6,33.5,2022
Harvard,Ivy,23,13,20.7,25.2,24.5,50,32.6,2022
UNC Asheville,BSth,29,17,19,26.6,37.1,50.1,34.1,2022
South Dakota,Sum,29,19,15.5,26.5,34.1,50,37.3,2022
Oregon St.,P12,31,3,17.5,26.2,27.6,49.8,31.9,2022
Northern Colorado,BSky,35,22,13.9,21.9,30.8,55.6,37.9,2022
James Madison,CAA,27,15,20.6,25.9,30.6,50.9,34.2,2022
Cal Baptist,WAC,31,18,17.4,28.1,36.8,49.8,33.4,2022
Penn,Ivy,28,12,15.3,25.4,24.1,52,33.5,2022
San Diego,WCC,29,15,16,26.3,25.5,46.2,32.1,2022
George Washington,A10,30,12,18,23.2,26,48,33.7,2022
Rider,MAAC,32,14,18.4,29.4,27.2,44.9,31.6,2022
Detroit,Horz,29,14,19,27.9,22.8,50.1,36.9,2022
