TEAM,CONF,G,W,TORD,ORB,FTR,2P_O,3P_O,YEAR
Binghamton,AE,31,10,16.7,20.9,24.3,48.4,33.9,2019
Hartford,AE,32,18,19.3,25.3,33.1,51.5,38.2,2019
Maine,AE,31,5,19.1,25.9,25.6,49.9,31,2019
New Hampshire,AE,27,5,16.9,21.5,21.9,39.4,32.6,2019
Stony Brook,AE,32,24,18.6,33.2,35.4,47.7,32.6,2019
UMass Lowell,AE,30,15,17.9,27,34.1,55.1,34.3,2019
UMBC,AE,31,21,22.9,24.5,31.1,49.5,31.3,2019
Connecticut,Amer,35,20,17.9,30.2,32.3,48.4,35.4,2015
East Carolina,Amer,31,12,19.2,28.2,29.9,45.2,35.6,2015
Houston,Amer,32,13,19.9,33.6,31.5,45.2,32,2015
Memphis,Amer,32,18,19.2,37,31.6,48.1,32.8,2015
South Florida,Amer,31,8,18.8,31.3,31.6,47.7,30.9,2015
Temple,Amer,37,26,18.8,31.8,35.6,43.4,30.4,2015
Tulane,Amer,30,14,20.3,32.6,34.7,45.5,32,2015
Tulsa,Amer,33,23,19.7,30.8,41.4,46.5,32.3,2015
UCF,Amer,29,11,15.8,30.7,35.1,47.6,34.5,2015
East Carolina,Amer,32,12,18.4,28.8,34.6,47.8,33.9,2016
Houston,Amer,32,22,18.4,35.8,34.4,52.1,34.8,2016
Memphis,Amer,34,19,18.9,32.4,41.9,45.1,32.4,2016
SMU,Amer,30,25,18.3,41.2,33.8,52.5,42,2016
South Florida,Amer,33,8,14.3,34.6,33,46.2,28.6,2016
Tulane,Amer,34,13,18.4,32.1,31.3,45.5,30.1,2016
UCF,Amer,30,12,13.4,31.3,37.2,50.1,31.8,2016
Connecticut,Amer,32,16,16.1,29.9,34.5,46.1,35.4,2017
East Carolina,Amer,33,15,17,30.7,37.4,44.5,32,2017
Houston,Amer,32,22,20.7,31.8,28.6,47.7,39.4,2017
Memphis,Amer,32,19,19.3,31.6,36.7,51.1,29.5,2017
South Florida,Amer,30,7,19.1,30.6,30.7,45.9,34.6,2017
Temple,Amer,32,16,18.3,27.5,26.4,47,35.6,2017
Tulane,Amer,31,6,19.7,29.3,34.3,45.2,32.4,2017
Tulsa,Amer,32,15,18.4,29.5,42.8,47.2,34.3,2017
UCF,Amer,36,24,14.7,32.6,39.9,48.9,35.2,2017
Connecticut,Amer,32,14,18.3,29.4,32.4,46.6,32.6,2018
East Carolina,Amer,30,10,17.3,27.8,28.7,49.6,30.5,2018
Memphis,Amer,34,21,18.9,35.1,43.6,52.3,31.7,2018
SMU,Amer,33,17,21.7,32.7,30.5,48.7,37.9,2018
South Florida,Amer,32,10,16.5,28.8,33.1,44.8,36.1,2018
Temple,Amer,33,17,18.7,27.7,25.6,47.2,35,2018
Tulane,Amer,31,14,17.2,27.5,34.5,50.9,35,2018
Tulsa,Amer,31,19,17.9,32,41.6,49.7,34.7,2018
UCF,Amer,32,19,18.9,28.5,43.1,47.1,32.9,2018
Connecticut,Amer,33,16,20,32.3,32.7,50.7,34.4,2019
East Carolina,Amer,31,10,19.5,28.2,35.6,47.7,28.4,2019
Memphis,Amer,36,22,21.3,33.4,37.3,52.5,32.2,2019
SMU,Amer,32,15,17.5,33.4,27.8,51.3,34.1,2019
South Florida,Amer,37,24,21.9,36.3,48.1,48.5,33.3,2019
Tulane,Amer,31,4,15.1,27,32.8,46.7,31.8,2019
Tulsa,Amer,32,18,17.6,23,43.4,51.3,34,2019
Wichita St.,Amer,37,22,17.6,32.5,28.8,47.1,31,2019
Florida Gulf Coast,ASun,30,19,17.3,34.4,33.1,47,33.9,2015
Jacksonville,ASun,29,7,19.1,27.7,39.3,43.1,35.8,2015
Kennesaw St.,ASun,30,8,16.2,29.6,29.8,44.1,31.5,2015
Lipscomb,ASun,28,11,17.8,29.2,39.7,47.5,32.6,2015
Northern Kentucky,ASun,28,11,16.6,28.5,30,51.9,33.4,2015
Stetson,ASun,28,6,16.4,26.1,34.1,48.3,31.8,2015
USC Upstate,ASun,32,20,20.3,35.2,30.4,49.2,33.2,2015
Jacksonville,ASun,28,12,17.4,27,31.4,45,38.9,2016
Kennesaw St.,ASun,29,9,18,28.3,33.5,47.2,35.1,2016
Lipscomb,ASun,31,10,17.7,26.9,34.7,50.5,35.2,2016
NJIT,ASun,34,19,19.2,26.8,33.7,51.1,35.1,2016
North Florida,ASun,31,19,14.4,24.1,28.7,54.7,40.9,2016
Stetson,ASun,30,8,15.7,25.2,33.8,49.4,36.2,2016
USC Upstate,ASun,28,7,15.1,33.1,30.9,48.4,35.7,2016
Jacksonville,ASun,29,17,20.9,26.3,34.6,50.4,38.8,2017
Kennesaw St.,ASun,30,14,17.5,31.1,30.6,47.7,41.2,2017
Lipscomb,ASun,30,20,20.3,28.3,41.2,55.7,36,2017
NJIT,ASun,29,11,18.4,30.5,33.3,47.7,33.4,2017
North Florida,ASun,30,15,16.7,33.3,34.9,50.7,34.7,2017
Stetson,ASun,29,11,15.1,21.1,32.6,49.9,33.4,2017
USC Upstate,ASun,29,17,14.5,30.2,31.9,52.8,34.6,2017
Florida Gulf Coast,ASun,32,23,18.9,31.3,33.4,54.9,37.3,2018
Jacksonville,ASun,29,15,17.8,25.9,30,48.8,33,2018
Kennesaw St.,ASun,28,10,18.8,29.6,35,47.5,36.9,2018
NJIT,ASun,28,14,20.3,30,32.9,48.1,35.3,2018
North Florida,ASun,30,14,13.7,25,27.7,51.5,37.5,2018
Stetson,ASun,28,12,18.5,23.2,25,48.7,32.9,2018
USC Upstate,ASun,28,7,15,27,21.6,49.3,34.1,2018
Florida Gulf Coast,ASun,30,14,19.2,25.6,31.9,50.7,36.9,2019
Jacksonville,ASun,30,12,18.2,28.3,30.5,51,31.2,2019
Kennesaw St.,ASun,30,5,17.1,29.2,30.1,39.1,31.4,2019
Lipscomb,ASun,35,29,19.6,26,36.3,53.8,37.5,2019
NJIT,ASun,34,22,17.9,21.9,38.4,49.8,34.8,2019
North Alabama,ASun,29,10,17.2,27.3,30.8,44.4,29.7,2019
North Florida,ASun,31,16,16.9,29.4,25.3,53.2,33.9,2019
Stetson,ASun,29,7,18,27.9,25,45,31,2019
Illinois,B10,33,19,19.7,30.2,31.2,44.4,35.5,2015
Michigan,B10,31,15,19.4,25.5,26.6,47,35.3,2015
Minnesota,B10,32,17,24.2,30,32.9,50.1,37.2,2015
Nebraska,B10,31,13,20.6,26.7,36.5,48,28.4,2015
Northwestern,B10,32,15,15.5,27.6,28.6,48.3,35.9,2015
Penn St.,B10,34,18,17.8,29.7,34.7,46.8,33.4,2015
Rutgers,B10,32,10,18.1,30.5,32.6,43.3,29.5,2015
Illinois,B10,34,15,19,21.5,30.5,47.5,36.3,2016
Minnesota,B10,31,8,17.8,26.5,37.1,45.6,31,2016
Nebraska,B10,34,16,19.7,31.8,32.6,49.4,34.7,2016
Northwestern,B10,32,20,16.4,30.5,28.4,51.6,35.8,2016
Ohio St.,B10,35,21,17.1,30.2,36,49,33.4,2016
Penn St.,B10,32,16,17.6,28.7,34.5,45.9,31.7,2016
Rutgers,B10,31,6,16.1,25.3,34.5,44.9,32.2,2016
Illinois,B10,34,20,18.5,28.6,32.5,48.5,36.1,2017
Indiana,B10,34,18,15.7,36.4,34.1,54.1,38,2017
Iowa,B10,34,19,19.1,31.8,34.9,49.9,37.9,2017
Nebraska,B10,30,12,19.3,33.7,30,45.3,31.8,2017
Ohio St.,B10,32,17,17.5,29.7,38.1,51.6,35.6,2017
Penn St.,B10,33,15,20.3,26.6,32.8,45.4,33.9,2017
Rutgers,B10,32,15,18.9,37.5,31.2,44.5,30.2,2017
Illinois,B10,31,14,23.2,34,33.1,49.8,33.2,2018
Indiana,B10,31,16,19.7,31.8,36.4,52.5,32.2,2018
Iowa,B10,33,14,15.5,34.1,35.4,53.3,37.5,2018
Maryland,B10,31,19,16.3,31.4,37.9,53.9,36.8,2018
Minnesota,B10,32,15,16,30,35.1,47.1,34.6,2018
Nebraska,B10,33,22,18.3,30.1,37.6,47.6,34.6,2018
Northwestern,B10,31,15,19,29.4,29.1,47.1,35.4,2018
Penn St.,B10,39,26,19.5,31.7,31.5,49.8,38.7,2018
Rutgers,B10,33,15,20.5,33.3,30.5,43.4,29.6,2018
Wisconsin,B10,33,15,18.4,28.4,32.7,51.2,33.5,2018
Illinois,B10,33,12,21.8,29.1,29.5,48.2,34.5,2019
Indiana,B10,35,19,18.1,28.1,34.6,53.1,31.2,2019
Nebraska,B10,35,19,19.3,28.5,33,48.6,33.4,2019
Northwestern,B10,32,13,17.9,24.2,30.2,46.4,31.3,2019
Penn St.,B10,32,14,19.6,31.9,32.3,47.2,32,2019
Rutgers,B10,31,14,17.4,33.4,31.7,47.2,31.2,2019
Kansas St.,B12,32,15,20.2,34,46,46.9,33.5,2015
TCU,B12,33,18,20,37.5,46.5,47.5,32.7,2015
Texas Tech,B12,32,13,20.1,34.6,46.1,44.5,32.3,2015
Kansas St.,B12,33,17,20.8,37,42.5,48.7,30,2016
Oklahoma St.,B12,32,10,17.5,28.8,38.3,47.8,32.8,2016
TCU,B12,33,12,21.1,29.3,45.6,43.7,33.5,2016
Oklahoma,B12,31,11,18.5,30.8,36.7,45.7,34.3,2017
TCU,B12,38,24,18.7,34.1,32.2,52.2,35.7,2017
Texas,B12,33,11,18.3,28.4,34.5,51.3,29.2,2017
Texas Tech,B12,32,18,20.3,30,35.6,51.9,36.7,2017
Baylor,B12,33,19,17.2,35.5,32.2,51.3,35.4,2018
Iowa St.,B12,31,13,16.4,29.5,29.8,47.9,35.8,2018
Oklahoma St.,B12,36,21,20.3,34.2,32.2,48.3,34.8,2018
Oklahoma St.,B12,32,12,17.6,26.4,30.6,46,37.2,2019
TCU,B12,37,23,18.6,31.2,31.7,52.3,34.6,2019
Texas,B12,37,21,18.9,28.1,29.7,49.8,34.8,2019
West Virginia,B12,36,15,18.5,36.9,38.9,47.6,31.6,2019
Creighton,BE,33,14,17.1,31.3,36.3,47.6,34.6,2015
DePaul,BE,32,12,18.8,27.4,36.5,49.2,35.2,2015
Marquette,BE,32,13,21,29,35.8,48.8,34.4,2015
